step,lr,l0,dead_fraction,loss,reconstruction_loss,l1_loss,aux_loss
202,4.0600000000000004e-05,3406.2734375,0.0,1.0512068271636963,0.18117552995681763,1376.505859375,0.18177837133407593
203,4.08e-05,3397.5166015625,0.0,1.0807417631149292,0.18182054162025452,1432.9573974609375,0.1824425309896469
204,4.1e-05,3391.861328125,0.0,1.0979723930358887,0.18242302536964417,1464.9957275390625,0.18305149674415588
205,4.12e-05,3391.96435546875,0.0,1.1032226085662842,0.17970310151576996,1486.38623046875,0.1803264021873474
206,4.14e-05,3350.3955078125,0.0,0.9826560020446777,0.18067634105682373,1241.5303955078125,0.18121442198753357
207,4.160000000000001e-05,3360.910888671875,0.0,1.0660935640335083,0.18092943727970123,1407.29736328125,0.18151548504829407
208,4.1800000000000006e-05,3355.331787109375,0.0,1.0687748193740845,0.18248474597930908,1406.4539794921875,0.18306303024291992
209,4.2000000000000004e-05,3345.41162109375,0.0,1.0503058433532715,0.18048430979251862,1377.5330810546875,0.1810549795627594
210,4.22e-05,3336.271728515625,0.0,0.9849514961242676,0.1819365918636322,1241.0921630859375,0.18246880173683167
211,4.24e-05,3323.755126953125,0.0,1.0326223373413086,0.18136903643608093,1338.644287109375,0.18193113803863525
212,4.26e-05,3310.969970703125,0.0,0.9841189384460449,0.18143999576568604,1241.3875732421875,0.18198511004447937
213,4.2800000000000004e-05,3330.69970703125,0.0,1.0587773323059082,0.18012869358062744,1395.903564453125,0.1806967854499817
214,4.3e-05,3320.8232421875,0.0,1.0828945636749268,0.1791815608739853,1447.8974609375,0.17976419627666473
215,4.32e-05,3327.646484375,0.0,1.0885326862335205,0.17870470881462097,1461.091064453125,0.17928238213062286
216,4.34e-05,3297.085693359375,0.0,0.9954996109008789,0.18007948994636536,1269.5716552734375,0.18063423037528992
217,4.36e-05,3283.147705078125,0.0,0.9932583570480347,0.1800794005393982,1265.0709228515625,0.1806434690952301
218,4.38e-05,3279.619873046875,0.0,1.0348892211914062,0.17659714818000793,1362.216552734375,0.17718377709388733
219,4.4000000000000006e-05,3304.319580078125,0.0,1.0783413648605347,0.17864160239696503,1440.950927734375,0.17922426760196686
220,4.4200000000000004e-05,3280.6474609375,0.0,1.011002779006958,0.17843952775001526,1307.093505859375,0.17901650071144104
221,4.44e-05,3271.15283203125,0.0,1.0308456420898438,0.1776570826768875,1349.8746337890625,0.17825114727020264
222,4.46e-05,3259.430908203125,0.0,1.0072277784347534,0.17610324919223785,1308.8480224609375,0.1767004281282425
223,4.48e-05,3255.832275390625,0.0,0.9833598732948303,0.17805832624435425,1253.301513671875,0.17865075170993805
224,4.5e-05,3245.259033203125,0.0,1.0101679563522339,0.1781524419784546,1306.489990234375,0.1787704974412918
225,4.52e-05,3263.968017578125,0.0,1.0645253658294678,0.17797279357910156,1415.905029296875,0.178600013256073
226,4.5400000000000006e-05,3251.1201171875,0.0,1.066458821296692,0.1773092895746231,1422.407958984375,0.17794550955295563
227,4.5600000000000004e-05,3248.95751953125,0.0,0.9985494613647461,0.17763100564479828,1285.33544921875,0.17825067043304443
228,4.58e-05,3233.2763671875,0.0,1.0658315420150757,0.17676067352294922,1423.30712890625,0.17741726338863373
229,4.6e-05,3229.708251953125,0.0,0.9970049858093262,0.17657431960105896,1286.416259765625,0.17722246050834656
230,4.6200000000000005e-05,3209.943359375,0.0,0.9897750020027161,0.1771731674671173,1269.528564453125,0.1778375506401062
231,4.64e-05,3215.448486328125,0.0,0.9975732564926147,0.1775127500295639,1283.760498046875,0.17818018794059753
232,4.66e-05,3210.6298828125,0.0,1.0052841901779175,0.17647036910057068,1303.3211669921875,0.17715322971343994
233,4.68e-05,3207.905517578125,0.0,0.9880201816558838,0.17670026421546936,1267.876708984375,0.1773815155029297
234,4.7e-05,3213.243896484375,0.0,1.0410189628601074,0.17469389736652374,1381.847412109375,0.17540131509304047
235,4.72e-05,3190.53564453125,0.0,1.0000889301300049,0.17609462141990662,1294.37109375,0.17680874466896057
236,4.740000000000001e-05,3187.321044921875,0.0,0.9896259307861328,0.17656219005584717,1271.570068359375,0.17727868258953094
237,4.7600000000000005e-05,3190.367431640625,0.0,1.0579124689102173,0.17644727230072021,1408.544189453125,0.1771930754184723
238,4.78e-05,3200.50048828125,0.0,1.0652549266815186,0.17409974336624146,1432.600830078125,0.17485475540161133
239,4.8e-05,3185.402587890625,0.0,1.005974531173706,0.17422175407409668,1313.5615234375,0.17497199773788452
240,4.82e-05,3180.307861328125,0.0,0.9931601285934448,0.17362810671329498,1290.2861328125,0.17438894510269165
241,4.8400000000000004e-05,3186.662109375,0.0,1.0409389734268188,0.17439840734004974,1382.723388671875,0.17517879605293274
242,4.86e-05,3175.386474609375,0.0,0.9885339736938477,0.17477121949195862,1276.43603515625,0.17554476857185364
243,4.88e-05,3176.316162109375,0.0,1.045082926750183,0.17238366603851318,1399.019287109375,0.17318958044052124
244,4.9000000000000005e-05,3178.3349609375,0.0,1.0375761985778809,0.17373928427696228,1378.58349609375,0.17454516887664795
245,4.92e-05,3165.344970703125,0.0,0.9936591386795044,0.17516076564788818,1285.0731201171875,0.17596176266670227
